StationID,tripduration,latitude, longitude
72,1119.600879,40.76727216,-73.99392888
79,849.0577233,40.71911552,-74.00666661
82,836.6079193,40.71117416,-74.00016545
83,870.5902062,40.68382604,-73.97632328
116,691.85466,40.74177603,-74.00149746
119,1069.016026,40.69608941,-73.97803415
120,1036.931034,40.68676793,-73.95928168
127,823.4689315,40.73172428,-74.00674436
128,821.9788613,40.72710258,-74.00297088
137,915.0316373,40.761628,-73.972924
143,742.0103725,40.69239502,-73.99337909
144,1852.038123,40.69839895,-73.98068914
146,838.4690897,40.71625008,-74.0091059
147,900.9660638,40.71542197,-74.01121978
150,1037.369699,40.7208736,-73.98085795
151,860.9725523,40.72210379,-73.99724901
152,941.596523,40.71473993,-74.00910627
153,852.004618,40.75206231,-73.9816324
157,880.8018223,40.69089272,-73.99612349
160,715.5,40.44535,-73.978238
161,796.483926,40.72917025,-73.99810231
164,933.4548096,40.75323098,-73.97032517
167,836.6749075,40.7489006,-73.97604882
168,676.1671638,40.73971301,-73.99456405
173,955.8430501,40.76068327,-73.98452729
174,828.7014025,40.7381765,-73.97738662
195,1046.563608,40.70905623,-74.01043382
212,912.3221501,40.74334935,-74.00681753
216,1363.968603,40.70037867,-73.99548059
217,1404.586431,40.70277159,-73.99383605
224,970.2752749,40.71146364,-74.00552427
225,1133.975656,40.74195138,-74.00803013
228,851.1685209,40.7546011,-73.97187885
229,724.4626847,40.72743423,-73.99379025
232,1506.376276,40.69597683,-73.99014892
236,815.8490329,40.7284186,-73.98713956
237,833.034355,40.73047309,-73.98672378
238,1011.934588,40.7361967,-74.00859207
239,652.9822161,40.69196566,-73.9813018
241,748.3740522,40.68981035,-73.97493121
242,889.3009637,40.697787,-73.973736
243,988.1661017,40.688226,-73.979382
244,831.3988522,40.69196035,-73.96536851
245,3393.575639,40.69327018,-73.97703874
247,865.3682195,40.73535398,-74.00483091
248,911.8806069,40.72185379,-74.00771779
249,829.2161359,40.71870987,-74.0090009
251,864.1755577,40.72317958,-73.99480012
252,779.4817276,40.73226398,-73.99852205
253,707.2910966,40.73543934,-73.99453948
254,769.3196544,40.73532427,-73.99800419
255,26617.05854,40.646768,-74.01651
257,889.1497785,40.71939226,-74.00247214
258,930.407526,40.68940747,-73.96885458
259,1291.042152,40.70122128,-74.01234218
260,856.6469222,40.70365182,-74.01167797
261,991.6569987,40.69474881,-73.98362464
262,774.2546858,40.6917823,-73.9737299
263,933.4881732,40.71759082,-73.9962244
264,986.9199187,40.70706456,-74.00731853
265,1035.402903,40.72229346,-73.99147535
266,968.4265515,40.72368361,-73.97574813
267,865.8022402,40.75097711,-73.98765428
268,893.5753365,40.71910537,-73.99973337
270,619.9775715,40.69308257,-73.97178913
274,811.5615228,40.68691865,-73.976682
275,802.9736025,40.68650065,-73.96563307
276,843.1974426,40.71748752,-74.0104554
278,1038.265014,40.69766564,-73.98476437
279,1139.695227,40.707873,-74.00167
280,716.1668143,40.73331967,-73.99510132
281,1334.031619,40.7643971,-73.97371465
282,959.1838352,40.70764494,-73.96841526
284,691.8711284,40.73901691,-74.00263761
285,706.2361024,40.73454567,-73.99074142
289,983.6078947,40.6845683,-73.95881081
291,968.236102,40.713126,-73.984844
295,885.3808562,40.71406667,-73.99293911
296,889.791842,40.71413089,-73.9970468
297,750.2517344,40.734232,-73.986923
298,840.0189781,40.68683208,-73.9796772
301,886.4117183,40.72217444,-73.98368779
302,902.5804124,40.72082834,-73.97793172
