OBJECTID,StationID,tripduration,latitude,longitude
1,79,849.057723300000020,40.719115520000003,-74.006666609999996
2,83,870.590206200000010,40.683826040000000,-73.976323280000003
3,116,691.854659999999970,40.741776029999997,-74.001497459999996
4,120,1036.931034000000000,40.686767930000002,-73.959281680000004
5,128,821.978861299999950,40.727102580000000,-74.002970880000007
6,137,915.031637300000060,40.761628000000002,-73.972924000000006
7,143,742.010372500000020,40.692395019999999,-73.993379090000005
8,146,838.469089700000040,40.716250080000002,-74.009105899999994
9,147,900.966063800000030,40.715421970000001,-74.011219780000005
10,151,860.972552299999960,40.722103789999998,-73.997249010000004
11,152,941.596523000000050,40.714739930000000,-74.009106270000004
12,153,852.004618000000050,40.752062309999999,-73.981632399999995
13,167,836.674907500000020,40.748900599999999,-73.976048820000003
14,168,676.167163800000030,40.739713010000003,-73.994564049999994
15,173,955.843050100000030,40.760683270000001,-73.984527290000003
16,195,1046.563607999999900,40.709056230000002,-74.010433820000003
17,224,970.275274900000000,40.711463639999998,-74.005524269999995
18,228,851.168520899999980,40.754601100000002,-73.971878849999996
19,229,724.462684699999950,40.727434230000000,-73.993790250000004
20,232,1506.376276000000000,40.695976829999999,-73.990148919999996
21,237,833.034355000000010,40.730473089999997,-73.986723780000005
22,239,652.982216099999960,40.691965660000001,-73.981301799999997
23,241,748.374052200000050,40.689810350000002,-73.974931209999994
24,243,988.166101700000010,40.688226000000000,-73.979382000000001
25,247,865.368219500000010,40.735353979999999,-74.004830909999995
26,248,911.880606899999980,40.721853789999997,-74.007717790000001
27,249,829.216135900000040,40.718709869999998,-74.009000900000004
28,251,864.175557700000010,40.723179580000000,-73.994800119999994
29,252,779.481727600000000,40.732263979999999,-73.998522050000005
30,253,707.291096599999950,40.735439339999999,-73.994539480000000
31,254,769.319654399999990,40.735324270000000,-73.998004190000003
32,255,26617.058540000002000,40.646768000000002,-74.016509999999997
33,257,889.149778500000020,40.719392259999999,-74.002472139999995
34,258,930.407525999999960,40.689407469999999,-73.968854579999999
35,259,1291.042152000000000,40.701221279999999,-74.012342180000005
36,260,856.646922199999950,40.703651819999997,-74.011677969999994
37,261,991.656998700000030,40.694748810000000,-73.983624640000002
38,263,933.488173200000010,40.717590819999998,-73.996224400000003
39,264,986.919918700000040,40.707064559999999,-74.007318530000006
40,265,1035.402902999999900,40.722293460000003,-73.991475350000002
41,267,865.802240200000030,40.750977110000001,-73.987654280000001
42,268,893.575336500000050,40.719105370000001,-73.999733370000001
